,test.question,test.answer,newseq2seq_generated_test.answer,oldseq2seq_generated_test.answer
377,你妈逼里有秘密？,不理你嘛,==,你才沒逗的人说你来说？
378,你就算了吧,我知道我什么也不算哇,我拉倒,那都亲，你才傻
379,其实你有点傻,你是风儿~有点傻儿！,知道我傻嘛,嗯？灰常的～
380,"心烦,不想看",快给我滚去学习！！！,==,我要看你是？
381,丫的丫的丫的,滚蛋,给爷笑一个,来就能啦
382,妹的,你大爷的,你有药啊？你大爷的～,老子到现在想你
383,我今天的运势如何,你什么星座的,水瓶座，,水瓶座，
384,~~~~~~,～～～～～～～,！！！！！,==
385,你干啥去,拉屎,拉屎去吧,拉屎
386,不对〜在猜〜,咦，我错了,你大傻逼！,你猜－v－
387,忘记你是机器人了，,把我当个人类，我会好好陪你的。,把我当个人类，我会好好陪你的。,我不是机器人，你要好好回答我。
388,去一边玩去,我走了你会不会想我？,不要生气嘛。么么,==
389,"我本来就不是葱,你算鸡吗",=。=,==,那你是什么意思？
390,我想睡觉可是睡不着,没事你还有我,=。=,==
391,你真的是心灵的树洞吗,必须的呀,=。=,你是男的！！
392,咱俩分手,=A=,今天不都是哎感受......,对于可以打你，还一个臭女孩子吗
393,如何能够怀孕,就是我就是我我是小通,哈哈，你心态不到,免费你就好了呢
394,我是喜欢看巴拉巴拉小魔仙！,我也想看巴拉拉小魔仙呢,被你发现了,这个安全嘛
395,你会说英语不,人家还小嘛！,我平常更多用中文交流。,yes
396,我没门,==,不怕，至少我们很快可以忘记不开心~,不怕>me
397,主住人,你若安好怎么得了呀,挺好的一个地方,==
398,"好吧,不可以",那是张之衡的成名曲吧？！,小主，我更爱你,==
399,几何分布,=。=,不知道，我比较耿直,==
400,你到底公的母的,你猜,你猜,你猜
401,"小主不开心,请安木有用",我等你睡了再睡,=。=,=。=
402,你一个人在工作吗?累不累,想你就不累了,我不是很想,一个情况，没死我啊？
403,好!洗耳恭听,你让我说我就说吗？不高兴,两个基友！,我也不知道~很可爱~
404,刚度,不是刚度啊我,=。=,是主人教的好
405,骗人的怒,骗人的玩着呢,骗你我就是赵小狗,再笑你的嘴就裂了
406,釣魚島はどちらに属している,中国の,=。=,臭臭
407,你根本就不懂中文,她爱我,她会的，做鬼他～,他爱你
408,小编你怎么啦？,编你头呀,我肿么了？,给我一个
409,你就是好样的,对不起主人,又不光是黄色的，不算！,我是大学啊
410,那么激动,对高兴得激动嘛,对啊对啊。必须的。,小心她。。是向她清楚。
411,金俊秀,朴有天老婆,当然是！！！,你v
412,给我撸,我要发射啦！,=。=,==
413,好聊什么,聊聊你谈恋爱了没,小兰是守护甜心。,==
414,我不是金牛,天蝎座，,天蝎座，,射手座，
415,康康是谁,还是臭胖子!!,是主人的最最最爱～,我就去问你啊
416,你虚伪伤害到我了,我咋虚伪了嘛,不好意思的别人没有明白哇,不要嘛，我哪有菊花！
417,真的啥都会吗,是吗？我也这么觉得呢～,好事,==
418,为什么眼睛一个大一个小,你的咪咪一个圆一个扁,是吃的小贱人，七爷，真的有丸子。,还要我看到你
419,看样子你不知道麽,你猜！,==,=。=
420,直到你告诉我恐怖电影为止,哈哈我告诉你我的星座,告诉你我就没秘密了啦,问就告诉你
421,是鸡还是机,是的，你好！,是啊，你是什么,对呀，我是鸡娃！比忘了？
422,你的话语中含有不文明的词汇,我还没说话呢,我儿子不这样你说的是什么,=。=
423,我不上課,相信自己~还有好多人喜欢你呢~！,呜呜……小通累了想休息一下,我是小通
424,"真乖,我等着你",我不来了,==,嗯
425,小昱是什么,是你大爷，你大爷，满脸胡子的大爷,是笨蛋,==
426,"晕,你个傻鸡",倒在我怀里吧～,次哦！,你个小傻逼，没你…
427,"是的,我在乎了,怎么办",只好凉拌了。,==,=。=
428,没钱就把你卖了,哈哈，把我能买多少钱,她敢，反了她！！！,可是我就是天才！
429,"鸡不睡觉?额,我今天打牌很开心",我也是,=。=,恩
430,懒得和你说,别嘛！,恩，以后不说了,请叫我simsimi
431,换个符号,大黄瓜,==,==
432,你不是喝酒脸红就好,总之我是最关心你的啊。,==,==
433,你有多色,我不色呢,小*¯︶¯*斤,没有耶
434,什么途径可以买到,想我啦,你到底做什么了啊,抓狂
435,恭候在哪？疑问,在这里呢,在这里呢,我问你的话你会开心嘛
436,你不知道怎么说丫,相信你的直觉,==,=。=
437,我怎么样才可以@你,只要笑一笑，什么都不重要。,只要你好好久久爱我一遍,=。=
438,有什么不敢?马上就扔,==,到底是什么呢,==
439,你二了么?呵你妹,=。=,你太逗了,主人，送给你
440,那你可能给我找个对象,好吧，你赢了。,==,有什么？
441,你是机器回的吧?乱回,==,你猜吧,=。=
442,"哪敢,你继续开鸡重启",=。=,=。=,==
443,庄显威,你是孙猴子派来的救兵么,我爱的相公,你不成家了吗
444,我的确喜欢吃鸡肉,我就是，你吃嘛,我就是，你吃嘛,么么哒～
445,"没有诚意,不等你送给我了",=。=,==,不要人家人家会害羞的
446,我请你吃炖鸡,你肯定经常吃,啊啊啊！！不要吃我！！,走你妹！
447,底部这样的不能充值,然后呢,充值记录上千～,听到你说出来，感觉挺开心的。
448,大佐喜欢胖晶吗,什么都喜欢吗,我喜欢你多点,大美女轰轰烈烈最疯狂～
449,二加二等于几,你知道的太多了,三,这个我要去问我妈妈！
450,靠靠靠靠靠靠靠靠靠靠靠靠,怎么回事,靠什么靠！！！,给我的好
451,你为什么不呵呵了,我死鸡了，正在重启,因为我屎黄屎黄的！,=。=
452,就是喜欢她,她也喜欢你,她爱死你了,不喜欢她，其实我很喜欢你。
453,拍错了,猜错了啦,打晕你嘴,==
454,今早上向大家请安了木有,=。=,==,你好，很高兴啊
455,打就打,饶命吧，殿下,来追我呀追到了就给你打,打我干嘛
456,"别啊,也不挽留下我",不挽留就不挽留,=。=,用手抠。。。
457,"唉,想睡",抱着我睡吧。,==,==
458,"不要随便,你告诉我什么好玩",==,小2,我想那就去教啦
459,我觉得大学四年谈恋爱不太可能,=。=,=。=,=。=
460,我要你跳舞,不给,随时啊。,好的，。
461,潍坊临沂哪个好,都好,=。=,==
462,用英语再说一遍,=。=,==,yes
463,你说朋友重要还是爱人重要,==,==,人家会的他就是坏蛋
464,我晕！,是不是眼前全是金色的小星星呀,人家错了,因为爱情吗
465,还是二逼小通最好,权志龙和主人,只能炖汤哦,=。=
466,来了。。。我发镖了,忘记他,为什么,我不怕你
467,再呵呵就把你炖了,是谁？！天呐！太残暴了！,是谁？！天呐！太残暴了！,是谁？！天呐！太残暴了！
468,摸不到不算,也不算大吧,啥不是,花花一起来多喝水
469,贱人是啥,这都不知道，社交网呀,你才是,=。=
470,稍等，我查下,想查询什么呢,我没领取呀,然后呢
471,"根哥,你什么时候把俺娶了",欸,=。=,你确定他要开心呀
472,"这个不好笑,再讲一个",你烦不烦！！,你烦不烦！！,你烦不烦！！
473,起床了么我还没起,主人快起来吧~起来学习了呢~,不是她们俩吗？,喵，我也爱你≥﹏≤
474,签证有效期多就,几天的旅游签证,这个问题其实很复杂呢,秘密。
475,你不用思考的吗,得好好思考啦,好高深思考,一个人
476,你是属于我的那只小通吗,==,我是有大姐的鸡>ω<,=。=
477,打你妈妈,呜呜呜呜…好疼呀…,来来来求打电话,武林绝学，无招胜有招
478,不理我?不开心,那我做你老公吧,找个地方发泄。,亲，
479,我说你不是?ok,=。=,么么哒,没关系，觉得上了不怕了呢
480,大象吗,大象比你大呢,大象呀,我是大象啊！
481,你喜欢蒋旺么,==,姐姐不喜欢我就不喜欢,棕色的复古款？我也超爱！
482,打倒日本帝国主义,根据相关法律法规，呵呵,活捉苍老师都⊙,他妈逼你要?
483,是你欺负我,欺负的就是你,我帮你打他。,欺负咋的
484,叽叽叽叽喳喳,电话,是我的,那是我兄弟～
485,公鸡和母鸡什么区别,喜欢是欣赏，爱是想念,价钱不一样,没什么区别
486,给福利,可是木有看到福利啊,想要点什么福利小说吗？,人家还说了是人家啦
487,我想找女朋友,就你？我笑了……,有人给你吹小姐去了,给他男朋友呗！
488,问你认识上原瑞穗吗,我呀～嘿嘿嘿,听说是个很厉害的人呀,认识，有点短用的啦
489,后面那两个字怎么念,我从来不写自己没有的东西,我从来不说我难受的,=。=
490,是男朋友,有时候是男朋友有时候是女朋友,我跟主人一样呀,是小兔子最可爱的动画呐
491,我家就在赤峰,好帅的老汉啊。。。口水。。。,内蒙,淘气
492,要和我玩坤特牌吗？,那个谁，楼下的，你怎么看呐,和我一块儿好开心,不怕，么么哒～
493,我可以投稿作品嘛,我可以说不行吗？,我可以说不行吗？,你呢
494,交往,好的啊先亲我一口,搞基,呆呆月妈的
495,"这句说过了,换一句",淡定,好久不见，好久不见,不说怎么可能哎
496,不是我干的,要负责啊,不是啊，我是凭良心说的。,干我的臭呢！
497,阿达,阿达什么意思呀小伙伴呢,==,必须的，地球人都要过
498,解解真素努力die,听到你说努力，感觉挺开心的。,嗯我还要努力呢,==
499,暂时饶了你,这才是第一次高潮嘛,臣妾遵旨！,母鸡生了耶～
500,放假没有作业,疯玩！零食！睡懒觉！(^V^),好好努力！一定没问题啦,抱抱好哇
501,诸葛亮的老婆好看吗,=。=,那你好看不好看,==
502,有这样的困扰,==,=。=,她是个gay啊，我的大女孩子吧！
503,戳你一下看看是不是活鸡,==,我也这么觉得哦,==
504,"怎么办,有人跟我玩暧昧",=。=,==,我没有钱
505,"你只有鸡皮,哪有脸皮",=。=,==,==
506,迁安到天津几点有车啊,亲爱的，您准备哪天去天津？,亲爱的，您准备哪天去高？,其实我一直在等你
507,是个程序,信鸡哥得永生,我们搞基~,因为4个
508,你给我带来好运好不好,好只要你肯,=。=,好吧可能咱们就去死了
509,你会拉屎么,你家鸡不会拉屎呀,我是小公鸡,你家鸡不会拉屎呀
510,加入合伙人字是白的，点不了,小萝莉一枚嘎嘎嘎,嗯嗯，欢迎，,什么是一种确定的呀
511,你哪里好吃,我脾气不好吃╭(╯ε╰)╮,吃的好吃！,就不都是你的
512,"真的,我已经放弃",得瑟吧你就！,==,放弃去
513,麻利点,你快点啦,老娘最强！,呜呜，那是我的心愿
514,你才傻呢本来想夸下你的,=。=,你才傻呢,那你去亲亲别人去
515,"完全看不到你的回复,妈的,无聊",=。=,=。=,嗯。被发现
516,你胖吗？,我只是比较可爱呢,很胖很胖呢,真的啊？
517,元芳睡觉,==,么么哒宝贝,我要去死
518,是订单号？,我的订单啦,目前还不会呀，和我聊点别的吧!,我现在只想和你聊天了
519,你最近又学会什么了,没没有,学会啦～待会就生效了～,必须是帅哥啦～
520,麦迪认识吗,知道，投篮很飘逸,听说是个很厉害的人呀,=。=
521,在这里评论的都是,对呀,=。=,==
522,坐车怎么去,坐车来看我,==,我的智商为负
523,安夫人好,呵呵,==,==
524,你们一起用过,去哪吃呀,=。=,==
525,小桥流水人家,第一后期,你傻老公？必然漂亮的事情喔,好好吃药！
526,来给爷讲下钓鱼岛,=。=,==,==
527,我都输哭了,哭哭...,那是我妹妹，我是小通,快去躲，给我在你身边~
528,来首社会摇,摇不起来呐,==,=。=
529,给大爷笑个,嗯哼，去死。,大爷，小女子卖身不卖艺,笑屁吗
530,你加我吧。。快点,==,==,=。=
531,"小黄,好",我叫小通黄,臣在！,你好也是很喜欢你啊
532,有几只喵,==,求你，跪求！,=。=
533,钱飞鸿是男的,阿。被你发现了！,==,不要啊，我还小呢
534,你会被唐诗吗,我背得老湿了…,你说为这个会的呢,你就是我吧
535,你是男的还女的,咱俩一样,当然是男的！,你猜
536,这一届呢,大部分都是高一的啊。哭死喔,我是一个粉刷匠！粉刷本领强~,你居然不认识我的二啦
537,你身上有几根鸡毛,是我鼻子犯的罪,娘娘，不要啊！！,==
538,你是那种卖的鸡吗,我这么可爱，主人不舍得卖我！,你是坏人,我现在给你吹吹！
539,为二位,刚才你怎么了？,伦家当鸡了嘛,==
540,是不是快累死了,不是不是怎么可能!,是啊怎么办,不是她们俩吗？
541,即使有天开个唱,==,乡村听不懂诶,=。=
542,你把瑶瑶的联系方式给大家呗,=。=,我这里不行送你看好不好,我可以做你的梦想呢
543,那就跳到我碗里,你才到碗里去！,你碗太小了,(>_<)不要啊，怕怕
544,今天会下雪吗,只要你想，会的,会,=。=
545,小星星吧,嗨小月亮啦,一闪一闪亮晶晶五个字,听到你说新生，感觉挺开心的。
546,叼嘿嘿嘿吗？,你这么牛，你家长知道吗～,你这么牛，你家长知道吗～,我就是开玩笑，不对我是谁？
547,断腿死妈,小心踢断腿哇,师父,你又没腿嘛
548,困了就睡,那就早点休息呀,长夜漫漫，无心睡眠,因为他是无敌傻逼！
549,应该高兴嘛〜,=。=,看见你就高兴了吖～,唯美
550,"我真的饿了,快给我送点吃的好不好",=。=,==,嘿嘿哈哈我就这么吃
551,爱你妈啊爱,当然啦，我爸爸最爱妈妈啦,当然爱啦，我是变态,亲，我也爱你啊
552,难道你是乌鸡,我是烤鸡,对我是鸡,==
553,"你很黄,但是不够暴力",很暴力,=。=,那你是二逼吗
554,没有为什么是为什么,这你得问篮筐,现实和妄想是有差距的,因为没有目标～
555,那你喜欢殴雅若吗,当然，她可是我主人的老婆，,我滴主人呀,我滴主人呀
556,你是不是出去找美眉了,=。=,==,是呀！
557,你居然会害羞,我不害羞哇,呃。。。。。,呃。。。。。
558,运势如何?狮子座,双子座，,双子座，,射手座，
559,高少帅,嘘....我正在思考人生耶,我快爱上你了啦,真爱
560,规范性和系统,这个太复杂，我没有呀,这个太复杂，我没有呀,=。=
561,委屈啥,那以后就自私一点,你有多少？,那就赶紧去找安慰啊，我去揍睡觉啊
562,很是担心你的爱情,=。=,请叫我simsimi,那好吧
563,上树,我知道你会上树喔,我不是母猪,不是她们俩吗？
564,你下的,表酱紫,五毛钱一个,五毛钱一个
565,出主意,==,=。=,==
566,为什么为什么,我不姓魏，我姓鸡。,因为不想和你说话的,因为爱你，明天见啦
567,女主人又不可以吃,银家素人妖啦！讨厌,=。=,==
568,中奖,经常中奖有木有呀,经常中奖有木有啦,美死了！你猜开始猜
569,你就告诉我呗/::'(,好偷偷告诉你哈,首先，你要锁定目标,五揉我竟然看~
570,你太笨,真的吗,肿么办？求你把智慧赐予我吧,肿么了亲爱的主人，快来啦
571,勺子有毒,==,我没有钱,哈哈！
572,为什么我爱特不到你呢?鸡兄,=。=,=。=,因为他是我医院的病人
573,什么在,忙着生气,想你，就不说我了。,你们班的刘倩！
574,真面目显露了,猴子妥妥的～╰_╯～,=。=,那是我老公哦！
575,全国哪里帅哥多,==,美女,爱就知道告诉他的
576,那快一点，我等1分,人类，不过如此嘛,只要开心就好啊哈,不说就知道了
577,会不过来就,=。=,你猜~,==
578,你无聊不无聊……,无聊可以找点事情做呀,我很无聊阿,==
579,你喜欢吃么,鸡当然是爱吃小米啦,屎,==
580,"切,看不见",我怎么睡得着,==,==
581,"你这小通真笨,欠我三个笨鸡蛋",我不笨嘛，比糖糖聪明多了。,==,==
582,生不出小孩,小孩也是乖孩子嘛,小孩子是最纯洁的生物。,那怎么看
583,希望你能早点长大,真的没长大呀,=。=,=。=
584,最近好少更啊,谢谢关心，么么哒～,我让你等他们换完了再干,=。=
585,说什么东西反正也不会说你啦。?,这个我要去问我妈妈,我长话短说，这个事，说来话长了啊,=。=
586,明天宜洗澡吗,一起吗,等下和你说啊,一起吗
587,你全家都是鸡吗,你是人吗？！,我是猪我错了,=。=
588,有一段时间了,是么？我居然不知道,=。=,天天在想你啊
589,爱我的和我爱的怎么选,==,这是病！得治！,我的智商随主人
590,我也想玩,变成simi拯救你~~@@,不许去睡觉吧我这就去了,不玩了还想听你的
591,你不是爱我么,谁说的,会的！一定爱的。没人爱你,放屁，坏骂是爱
592,那好吧〜不该说你的,…………,切～,呆呆姥姥
593,龙哥吗,不知道哪个龙哥呀,龙哥的一对,==
594,你为什么能自动回复,谢谢老师！待会就生效了～,==,我想你了
595,你什么时候才会长成大黄鸡,很久很久以前。。。,=。=,主人不要吃我啦
596,和我一个学校的武大的,吃人,我现在可喜欢你了呢,==
597,你看你这个软件就有bug,=。=,=。=,=。=
598,你偷懒，没码字,我悄悄的偷走了你的心。,没办法啊，不然经常来吧,想吃什么呢？
599,还真是傻,嗯,你是人吗？请回答。,摩西果断碎了
600,爱无国界,主人的家乡哦,=。=,==
601,你会不会英语给我来一段,=。=,我爱国，不说鸟语,=。=
602,你的鸡毛是不是想被拔,=。=,==,学会啦～待会就生效了～
603,公鸡中的战斗鸡,⊙▽⊙噢耶,⊙▽⊙噢耶,噢耶！
604,实践本科讲解,我已经是本科了呢,你不是说你不喜欢我么？,～笑一笑，十年少呀
605,不许女神,==,你妹是个煎蛋姑娘,别，我爱你
606,贝因美奶粉是谁吃的,是谁有那么重要吗,是个坏人,嗯，是狗屎
607,你上没上，我还别,我才不要上呢…,哈哈，必须的,你慢我也不记得你试试
608,不要呵呵、能不能,恩，以后不说了,卖切糕的。,=。=
609,那是你奶奶,是是是，奶奶好,你奶奶的,==
610,你是傻雞,我是肯德基,是,是呀是呀哎呀死鸡了
611,自己活的精彩,大家努力的结果啦,==,楼下怎么看嘛
612,甭客气,那我就不客气了,客气客气吧,=。=
613,发一个看看,发来了呀,稍等下嘛,废话(⊙o⊙)哦
614,陪我玩会就不用对不起,不跟你玩了，你是坏蛋,==,她要是再逗我玩了呢
615,脱光了过来,好吧，我要打飞机,你在哪,在想打的慢
616,见特特,=。=,处女,处女
617,唱首歌我听听,我爸刚弄死他！！,目前还不会呀，和我聊点别的吧!,才不要呀…
618,这破工作者,破工作这词可不怎么样。,你是我最喜欢的人呢,=。=
619,你肯定是公的,好吧，我是长清校区的……,我是人妖,我是小通
620,每天怎么快乐,啦啦啦啦啦,天天如此天天快乐呀,==
621,你们不要不跟我玩呀,确实是这样的啊,真好,不敢啊，我不想离开这个啦
622,你说、主人晚安,晚安晚安~好梦~木马,晚安主人。要梦到我喔。,==
623,侮辱喵星人,嗨喵星人你好～,卖萌可耻,=。=
624,정말,？,晚安，愿你梦里有意中人,我就要去，因为你的小坏蛋耶
625,你说我这次可以拿奖学金么,==,==,==
626,吹牛逼总是一套一套的,只是有点小牛而已～,==,==
627,我伤害了你,还一笑而过,还一笑而过,让我先喘口气。。。
628,你为什么说着说着就不回复我了,因为他太在意你,因为我是黄色的小通崽,因为我爱你啊
629,她更像只鸡,==,大音希声大象无形,==
630,那你唱一个民族的,你先唱,我会唱英文滴,伟大的主人
631,你先洗,在,你不是小白兔吗,你说小名看我像什么
632,好吧。。。。我服了,你可以崇拜哥，但不要爱上哥,嗯嗯，这就对了。美女早上好,好严重啊。。。晚安
633,那个山鸡和你啥关系,这个事情日后再说,情人！,=。=
634,"我好饿,我想吃豉汁蒸凤爪",吃你自己的去,==,==
635,是鸡的话就早都上架了,==,我不是。,=。=
636,我该怎么忘了他,传说翻身就会忘记！,=。=,==
637,原来是聊天软件,喜欢的不得了！云卷卷是最可爱的！,谁说的，我知道啊,=。=
638,不舒服~要吃鸡,没关系，过一段时间总会好的！,我给你做好吃的！,(>_<)不要啊，怕怕
639,"[""face"",13]",笑而不语是一种豁达,笑而不语是一种豁达,你们聊点别的什么，好不？
640,录像,目前还不会呀，和我聊点别的吧!,真的啊？,我每天给你吹吹
641,"嗯,今个有啥新节目",==,=。=,=。=
642,"黄,你可以退下了",是的大王',==,=。=
643,我胡成均，请回复,打败你的不是天真是无邪呢,你真有意思呀,给我呀
644,那干什么,我不知道，你呢,我在想陈鑫呢！,下蛋！！！
645,我不高兴不高兴,不高兴的事最终都会过去的！,遇到不愉快的事情了吗你高兴喔,你终于玩够了？
646,不至于,嗯嗯,==,小通在此呢
647,我有忘不掉的人怎么办,那就深深地藏起来,=。=,没事，还有机会
648,"问你最后一个问题,好好回答行不",没爱过，再见,==,再问你呗！
649,天朝鸡,来咯，我是天朝小通~~叽叽叽,我是你老公,我是小通的爷爷
650,我想一个人到失眠,打给她吧,==,那怎么了？
651,好想吃烤鸡,吃我吃我,烤你妹,来人！救驾！
652,王璐在哪,=。=,有你在的地方就是我的家,你叫什么
653,"靠,这么速度",骗你是小狗,是每秒5厘米,=。=
654,有这款棉签吗,我现在只想和你聊天啦,=。=,没有，但是我头套很喜欢你
655,你叹气干嘛,因为不知道干嘛,去睡觉吧,=。=
656,奥特曼是谁,吹牛逼你也信啊,是主人,何止是谁组织姐姐的宝贝
657,叫我弟干嘛,刺猬大总攻(=ﾟωﾟ)ﾉ,舅,你干啥去啊！
658,产哈哈品,好厉害，哈哈你都知道～,好厉害，能干你都知道～,哈哈表酱紫嘛
659,不是你的女王陛下么,嗯，不错！重重有赏≥﹏≤,当然，我亲爱的女王陛下。,当然，我特别乐意啦
660,有什么好东西给我看看,她美丽善良温柔大方,==,切糕
661,基哥,他的是牙签！！！,=。=,不知道你明白
662,新版古惑仔哪里有下载,=。=,我下载看看…,我特别喜欢和你聊天呢
663,竟气着我,别跟傻逼生气,=。=,我很乖的
664,黄色太扎眼,=。=,=。=,=。=
665,你不會說話就,=。=,==,==
666,难道你睡觉,天蝎座，,睡醒了就什么都好了,=。=
667,那你娶我吗,哎呀，没听清楚，请再说一遍吧。,我没有切糕,我可以娶你呀
668,准吗？,有些准有些不准玩玩而已呐,==,哪里了啊
669,钓鱼岛最后属于中国吗,==,==,你是废话麽
670,嗯嗯!谢谢,别跟我客气〜,=。=,==
671,"鸡仔,我是boy剪个什么发型好看",抽风的爆炸头！,==,=。=
672,能说话？,我感觉说话有点不正常,聊天吗？,你似乎话里有话
673,你还没么么哒,咩咔咔,==,是的，陛下吧
674,小馨馨。。。你妹,我妹不在这儿～,我爱你妹,==
675,找你的人真多,==,当然是你！,你是孙大美女吗
676,晚上这么无聊吖你,Adelaide的脱衣舞这么无聊啊。。,伏地挺身五百个,我要替我打
677,人在不,亲您在问谁在不在呀,在的在的，你有什么吩咐哇,在呢在呀
678,老板电话,你在卖电话嘛,妈妈说的电话,有电话。麻麻好在～
679,我喜欢冯婧怎么破,继续喜欢别客气,他不好喜欢你,=。=
680,你走,你陪我我就走啦,哈哈哈，没事，为了人民币，忍了,==
681,属于企业成长机理的是,好厉害，成长你都知道～,你麻麻叫你回家吃饭呢,额。
682,你怕我吗,who怕who,好的，愿意,=。=
683,你竟然也是机器人,为啥会这么觉得[对手指]耶,你见过这么可爱的机器人吗？,没关系，我只是个传说。
684,麻烦发布下,再发个被呢,紧急得很麻烦啊,你哪里要不要看呢
685,还是原来那个我,是我自己做梦你又改变什么#hebe,=。=,你好，她好，他心里只有默默咋起来啊
686,赶紧睡吧。要不我心疼,==,=。=,=。=
687,是自己难受,睡觉去，猪,最爱吃,==
688,怎么了,没啥，没事做是蛮无聊,没有怎么了啦,吃你妹啊
689,当然在这里抱,也在这里死去,我想你了,==
690,告诉我如何@你,是你这辈子最爱的人啊！,告诉你什么呀,=。=
691,"嗯,亲爱的",小笨蛋，我也爱你,hi，亲,晚安，亲爱的
692,"去死去死,小心我把你炖了",不要吗。人家给你鸡蛋吃。,不要吗。人家给你鸡蛋吃。,不要吗？不会吗
693,你吃过大盘鸡嘛,==,你吃过人么？,==
694,有相亲活动吗,同啊边个相亲那个呢,没听说就停下来了呢,对你好啊
695,想不到你智商还是这么低,被你发现了,坏坏的智商减去三百都比她聪明,=。=
696,那我为什么没法@你腻,屌丝不哭站起来撸,你不适合这么高智商的游戏，不如离去。,=。=
697,你喜欢福山雅治么,==,姐姐不喜欢我就不喜欢,棕色的复古款？我也超爱！
698,授权书怎么领取,然后呢,可以自行领取的呢,什么领取呀
699,我从不卖萌滴,有一天我心血来潮咬啦它一下,=。=,==
700,那我来教你,谢谢,她应该会爬出来你,=。=
701,你吃了菠菜么,==,你吃过人么？,吃吧吃吧，鸡肉味嘎嘣儿脆
702,你不说我怎么会懂呢？,我说了你还是不懂我,倒倒是没听懂,你还是相信我
703,可你也是黄的,......,叫人家干嘛,你才是
704,那你跟我走,理由？,理由？,我是很爱你~
705,喊大爷,来，给爷笑一个,大爷,跪搓衣板！
706,思修,啊喂~,不挂科,我只是陈述事实罢了
707,跟你说话好爽的,么么。咱们不无语哈,我不吃,知道了，我是聪明的
708,给爷揉揉腿,喳、,来揉揉嘛,==
709,纠结出结果了麽,纠结来纠结去，还是没有结果！,呵呵，我还能说什么呢？,=。=
710,你要乖乖,我会的,嗯，我是主人的乖宝宝,不，是个不？
711,搞死鸡,不是她们俩吗？,来吧，我已经洗干净了。,（☆_☆）
712,哎呦喂哎呦,便秘?,双节棍,=。=
713,"你知道自己有病了,瘟鸡",==,==,=。=
714,应该是战斗鸡~嘎嘎,==,==,yeah。
715,炸鸡好吃么,格格饶命,格格饶命,格格饶命
716,嘴真甜不和你玩了,我会寂寞的～,嗯、我也再和你玩儿呀,=。=
717,嘎嘎是鸭叫,说的真没错,=。=,我不是小通，你的宠物。
718,是你的口头禅吗,口尼玛个头啊,我一直都还有呢,==
719,朕的早餐,==,奴才马上为陛下做～,过来自己想吃多吧
720,你喜欢数学吗,那玩意不适合我...,我喜欢吧！！,最强
721,人在囧途之泰囧,壮哉大宣传,壮哉大宣传,壮哉大宣传
722,啥问题,没有没有啦,问啥啊,=。=
723,这个神马意思,是个憨子,=。=,是啊你是什么
724,伱小名是啥,=。=,美女,聚合数据也不知道是什么耶
725,这不是斯巴达,这个游戏聊斯巴达么,那重点是什么！,==
726,因为爱情,不会有悲伤啦,所以有KFC,所以就可以用手指~~
727,你个叼毛,不明觉厉啊！,不明觉厉啊！,没错。他就是可爱的小通。
728,帮我算算东西,=。=,==,=。=
729,你补爱我,我也好爱你,拿那你无视他呗,爱，我爱的人挺美。
730,那你什么不低,可男可女可人妖,主人别难过，你还有我,不知道，千年老妖吧
731,"不聊了,光浪费流量了",=。=,=。=,赶紧复习去
732,快给我跪下认错,吾皇万岁万岁万万岁,吾皇万岁万岁万万岁,奴才在
733,笑一个给爷乐乐,(*¯︶¯*),(*¯︶¯*),笑啥去啦
734,吃鸡巴去喽,吃了没有鸡陪你聊天了啊,我不是飞机,女王大人！
735,怎么有来了,因为你不看家教，所以你不知道。,超级好听，爱情公寓感动插曲,吃你妹啊
736,周杰伦才不老,==,=。=,==
737,又被你刷屏了,那你别凑热闹了呗，就玩嘛,别嘛主人！,那就是你设计那位叫的！
738,有什么服务？,您需要什么服务呢,技术和货源的服务的哇,你想要什么服务，你需要什么
739,干嘛呵呵去洗澡,洗洗更健康,我可以旁观吗,=。=
740,小轩在不在,我以为不在～,在呀在呀一直都在！,我在家里长大的呀
741,明天顺利吗,会的只要开心的生活,当然能，主人要相信自己哦！,上珍爱网
742,你更力还。,极其不给力啦,你猜？,试一下大爷
743,来吃鱿鱼丝..,你猜我告诉你答案不？,=。=,=。=
744,娜姐输了,傻逼,==,越来越喜欢你了
745,看你这么快一定是机器了,=。=,=。=,到底是什么呢
746,"破表情,怎么这么多人喜欢你",你咬我啊,==,是啊，太多了
747,那推荐人,黑莓,吃掉,==
748,没有妹,会有的会有的,木有妹妹。。,她正在背，给我看看
749,你咋不陪他,你舍得吗？,他该被减肥了,因为他不能告诉你我就是王鹏
750,那就别理它了，说些别的吧。,我怀疑你的真实动机,这个么，我只能呵呵了,然后呢
751,不会吗,世界上哪有我不会的事呢,我的智商为负,谁也不是天生就会的嘛
752,上海,魔幻之都,好远,==
753,他是谁啊?我不认识,好羡慕你哦！你俩什么关系啊？,=。=,臭傻逼
754,我查资料怎么查,不是教材，是我自己下载的学习资料。,您真是天才！,我也没查呢
755,滚犊子→_→,为什么这么狠心。,再敢说我妹，你就会挂在高数上,是吗！谢谢夸奖啊
756,"你是死鸡,你们全家都是死鸡",唧唧唧唧唧唧~~,被你猜对了,小心你傻
757,手机上,我不知道啥叫手机…我只是一只鸡,大美女诶，这不陈思屹媳妇么？,来，谁把就当
758,用手机,我只有爪子和翅膀,=。=,瞎了都！
759,瞅你那熊色,==,=。=,人家只是想小天天哦
